Latitude,Longitude,Altitude,Time
-34.56382611,-58.47865316,44.099998474121094,2021-06-10T06:41:58Z
-34.56372725,-58.47842365,44.0,2021-06-10T06:42:00Z
-34.56360325,-58.47819377,43.70000076293945,2021-06-10T06:42:02Z
-34.56352593,-58.47792896,42.70000076293945,2021-06-10T06:42:04Z
-34.56339238,-58.47770291,43.5,2021-06-10T06:42:06Z
-34.56327803,-58.47745853,44.20000076293945,2021-06-10T06:42:08Z
-34.56312011,-58.47722317,44.29999923706055,2021-06-10T06:42:10Z
-34.56297104,-58.47706386,45.099998474121094,2021-06-10T06:42:12Z
-34.56299268,-58.47701766,47.5,2021-06-10T06:42:14Z
-34.56295142,-58.47695007,48.5,2021-06-10T06:42:16Z
-34.56292119,-58.47691202,48.79999923706055,2021-06-10T06:42:18Z
-34.56292807,-58.47692092,49.79999923706055,2021-06-10T06:42:20Z
-34.562947,-58.47693017,50.20000076293945,2021-06-10T06:42:22Z
-34.5629683,-58.4769416,51.5,2021-06-10T06:42:26Z
-34.56295748,-58.47686305,53.5,2021-06-10T06:42:49Z
-34.56290725,-58.47676541,54.29999923706055,2021-06-10T06:42:51Z
-34.56282589,-58.47663004,53.29999923706055,2021-06-10T06:42:53Z
-34.56275414,-58.47649195,53.29999923706055,2021-06-10T06:42:55Z
-34.56268024,-58.47633843,51.79999923706055,2021-06-10T06:42:56Z
-34.56258358,-58.47620534,51.79999923706055,2021-06-10T06:42:58Z
-34.56250182,-58.47611987,51.29999923706055,2021-06-10T06:43:00Z
-34.56245501,-58.47606957,51.70000076293945,2021-06-10T06:43:02Z
-34.56249187,-58.47606312,52.29999923706055,2021-06-10T06:43:04Z
-34.56248892,-58.47607386,53.20000076293945,2021-06-10T06:43:09Z
-34.5624833,-58.47608385,53.0,2021-06-10T06:43:12Z
-34.56247783,-58.4760933,53.599998474121094,2021-06-10T06:43:18Z
-34.56245122,-58.4759819,49.599998474121094,2021-06-10T06:43:27Z
-34.56241185,-58.47585836,51.0,2021-06-10T06:43:30Z
-34.56231698,-58.47567531,53.29999923706055,2021-06-10T06:43:32Z
-34.56221661,-58.47546376,49.5,2021-06-10T06:43:34Z
-34.56212304,-58.47527032,51.5,2021-06-10T06:43:36Z
-34.56201991,-58.47505934,51.79999923706055,2021-06-10T06:43:38Z
-34.56194883,-58.47483864,51.099998474121094,2021-06-10T06:43:39Z
-34.56183321,-58.47463797,51.70000076293945,2021-06-10T06:43:42Z
-34.56172374,-58.47443875,52.400001525878906,2021-06-10T06:43:44Z
-34.56163522,-58.47426409,52.20000076293945,2021-06-10T06:43:45Z
-34.56158028,-58.47417661,52.20000076293945,2021-06-10T06:43:47Z
-34.56149476,-58.47414707,53.0,2021-06-10T06:43:49Z
-34.56148314,-58.474095,52.900001525878906,2021-06-10T06:43:51Z
-34.5614532,-58.47406103,52.599998474121094,2021-06-10T06:43:53Z
-34.56143816,-58.4740585,53.099998474121094,2021-06-10T06:43:55Z
-34.5614272,-58.47405148,53.0,2021-06-10T06:44:03Z
-34.56143564,-58.47404155,52.599998474121094,2021-06-10T06:44:11Z
-34.56140827,-58.47395869,54.900001525878906,2021-06-10T06:44:13Z
-34.5613851,-58.47388392,53.099998474121094,2021-06-10T06:44:15Z
-34.56131476,-58.47375669,53.099998474121094,2021-06-10T06:44:17Z
-34.56123035,-58.47360948,52.599998474121094,2021-06-10T06:44:19Z
-34.56113312,-58.47342496,52.099998474121094,2021-06-10T06:44:21Z
-34.56104355,-58.47324264,51.0,2021-06-10T06:44:23Z
-34.56093959,-58.47306113,50.79999923706055,2021-06-10T06:44:25Z
-34.5608439,-58.4728787,50.70000076293945,2021-06-10T06:44:27Z
-34.56077561,-58.47270671,51.20000076293945,2021-06-10T06:44:29Z
-34.56067568,-58.47251955,51.099998474121094,2021-06-10T06:44:31Z
-34.56058771,-58.47234039,51.099998474121094,2021-06-10T06:44:33Z
-34.5604921,-58.47216396,51.29999923706055,2021-06-10T06:44:35Z
-34.56040364,-58.47203888,51.599998474121094,2021-06-10T06:44:37Z
-34.56036622,-58.47192903,51.900001525878906,2021-06-10T06:44:39Z
-34.56034491,-58.47187634,52.0,2021-06-10T06:44:41Z
-34.56031739,-58.47182283,52.20000076293945,2021-06-10T06:44:43Z
-34.56030482,-58.47177647,44.599998474121094,2021-06-10T06:44:47Z
-34.56027393,-58.47170601,39.400001525878906,2021-06-10T06:44:49Z
-34.56023291,-58.47162305,38.70000076293945,2021-06-10T06:44:51Z
-34.56016367,-58.47149671,36.70000076293945,2021-06-10T06:44:53Z
-34.56012632,-58.47138704,36.5,2021-06-10T06:44:55Z
-34.56008578,-58.47130509,37.20000076293945,2021-06-10T06:44:57Z
-34.55999855,-58.47115499,38.20000076293945,2021-06-10T06:45:01Z
-34.55993157,-58.47105776,38.400001525878906,2021-06-10T06:45:04Z
-34.55986611,-58.47091324,37.599998474121094,2021-06-10T06:45:05Z
-34.5598084,-58.47078822,38.099998474121094,2021-06-10T06:45:07Z
-34.55970611,-58.47061747,39.29999923706055,2021-06-10T06:45:09Z
-34.55961438,-58.47045384,39.400001525878906,2021-06-10T06:45:11Z
-34.55957056,-58.47036534,38.599998474121094,2021-06-10T06:45:12Z
-34.55960949,-58.47032656,37.599998474121094,2021-06-10T06:45:15Z
-34.55958551,-58.47027764,37.79999923706055,2021-06-10T06:45:16Z
-34.55958621,-58.47030549,36.900001525878906,2021-06-10T06:45:19Z
-34.55956943,-58.47029071,36.400001525878906,2021-06-10T06:45:21Z
-34.55954763,-58.47029239,35.900001525878906,2021-06-10T06:45:23Z
-34.55955796,-58.47029502,35.099998474121094,2021-06-10T06:45:25Z
-34.55953923,-58.47028892,34.599998474121094,2021-06-10T06:45:27Z
-34.55953115,-58.47029811,35.400001525878906,2021-06-10T06:45:35Z
-34.55952123,-58.47029085,35.900001525878906,2021-06-10T06:45:37Z
-34.55950983,-58.47028421,36.400001525878906,2021-06-10T06:46:24Z
-34.55942669,-58.47025894,34.79999923706055,2021-06-10T06:46:26Z
-34.55935225,-58.47025667,32.20000076293945,2021-06-10T06:46:28Z
-34.55927749,-58.47026123,33.900001525878906,2021-06-10T06:46:30Z
-34.55918543,-58.47028263,33.5,2021-06-10T06:46:32Z
-34.55910095,-58.47034043,34.400001525878906,2021-06-10T06:46:34Z
-34.55899882,-58.47038178,34.0,2021-06-10T06:46:36Z
-34.55895108,-58.47043714,34.400001525878906,2021-06-10T06:46:38Z
-34.55882984,-58.47055123,30.600000381469727,2021-06-10T06:46:40Z
-34.55874259,-58.47060884,28.799999237060547,2021-06-10T06:46:43Z
-34.55862774,-58.47068212,28.200000762939453,2021-06-10T06:46:45Z
-34.55851993,-58.47073715,29.200000762939453,2021-06-10T06:46:46Z
-34.55846837,-58.47082405,31.700000762939453,2021-06-10T06:46:48Z
-34.55842784,-58.47088921,30.100000381469727,2021-06-10T06:46:50Z
-34.55835392,-58.47083761,29.299999237060547,2021-06-10T06:46:53Z
-34.55828639,-58.47083738,30.700000762939453,2021-06-10T06:46:55Z
-34.55827994,-58.47077499,33.70000076293945,2021-06-10T06:46:56Z
-34.55824828,-58.47071761,35.20000076293945,2021-06-10T06:46:58Z
-34.55822939,-58.47064674,33.70000076293945,2021-06-10T06:47:00Z
-34.55818835,-58.47058133,32.599998474121094,2021-06-10T06:47:02Z
-34.55811249,-58.47044517,34.0,2021-06-10T06:47:06Z
-34.55809187,-58.47040478,34.599998474121094,2021-06-10T06:47:07Z
-34.55804393,-58.47033129,38.900001525878906,2021-06-10T06:47:09Z
-34.55797638,-58.4702492,40.599998474121094,2021-06-10T06:47:11Z
-34.55794154,-58.47016009,42.0,2021-06-10T06:47:12Z
-34.55785969,-58.47001016,39.79999923706055,2021-06-10T06:47:14Z
-34.55777985,-58.46980806,41.5,2021-06-10T06:47:18Z
-34.55774518,-58.46970573,40.70000076293945,2021-06-10T06:47:20Z
-34.55770153,-58.46958068,49.099998474121094,2021-06-10T06:47:23Z
-34.55761917,-58.46948257,45.79999923706055,2021-06-10T06:47:26Z
-34.55756234,-58.46937336,44.099998474121094,2021-06-10T06:47:28Z
-34.55752608,-58.46929176,43.099998474121094,2021-06-10T06:47:30Z
-34.55747447,-58.46918159,43.20000076293945,2021-06-10T06:47:32Z
-34.55736732,-58.46898505,40.20000076293945,2021-06-10T06:47:35Z
-34.55732566,-58.46887319,41.20000076293945,2021-06-10T06:47:37Z
-34.5572826,-58.46877418,43.099998474121094,2021-06-10T06:47:39Z
-34.55723443,-58.46868628,44.599998474121094,2021-06-10T06:47:41Z
-34.5571829,-58.46860393,45.79999923706055,2021-06-10T06:47:42Z
